"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","ideal_age","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp","self_age"
276,0,25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,4,6,5,5,4,4,4,6,5,4,5,7,4,6,5,3,1,6,5,7,7,4,6,7,5,6,5,7,2,5,9,7,0
483,0,27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,12,5,10,8,7,9,8,7,9,9,10,9,8,5,10,7,8,2,6,7,7,9,10,7,8,9,9,7,8,6,9,6,6,3
444,0,30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,8,8,7,9,7,7,5,6,7,9,8,2,6,9,7,1,7,7,5,5,3,5,6,6,4,3,4,1,3,6,5,1
394,0,30,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,1,6,7,8,7,5,6,9,7,7,6,9,6,7,6,6,3,8,6,4,7,4,7,5,6,6,5,7,5,5,8,6,1
415,0,25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,13,5,10,7,6,9,10,9,9,10,8,10,8,7,9,8,7,1,8,6,4,6,8,8,6,6,7,8,7,7,9,6,6,1
336,0,30,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,7,4,4,6,3,5,4,6,3,3,5,2,4,8,4,3,5,5,2,5,6,4,5,5,5,3,6,1,6,7,4,2
286,0,26,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,4,6,5,6,5,8,5,6,6,7,6,5,5,7,6,6,1,8,8,8,8,9,5,7,8,6,7,6,8,7,7,7,0
446,0,24,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,3,3,3,3,4,5,4,5,3,6,4,8,5,6,5,1,2,3,5,3,7,5,5,5,6,4,5,6,3,5,6,0
353,0,25,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,4,8,9,9,8,10,7,9,6,7,8,9,9,5,7,8,1,8,7,6,8,8,7,9,9,7,4,9,5,8,8,7,2
371,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,9,10,6,8,9,7,9,9,9,9,10,3,8,10,10,1,10,9,7,8,9,8,10,8,9,8,10,4,7,10,8,1
490,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,5,7,9,5,6,8,6,8,9,9,8,4,5,7,9,7,1,7,7,5,8,10,5,8,7,9,6,6,4,8,9,7,1
440,0,30,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,4,7,5,6,8,7,7,5,9,8,8,8,7,8,8,2,6,4,6,7,6,6,8,6,7,7,7,9,7,8,8,3
481,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,5,8,10,5,7,4,6,8,9,10,7,7,6,7,4,5,1,9,7,6,7,5,4,7,7,8,7,6,1,5,5,7,1
390,0,24,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,7,4,4,7,4,5,6,5,6,5,6,4,1,3,7,6,0,5,3,3,4,6,4,3,3,5,4,4,0,3,4,4,0
439,0,23,1,NA,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8,5,9,9,6,6,7,9,8,7,8,7,10,6,4,7,9,6,7,7,6,7,6,8,7,5,9,6,6,6,5,7,7,3
271,0,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,4,10,10,7,8,8,8,9,10,9,10,7,2,7,9,9,1,8,8,5,7,6,6,5,8,6,7,7,1,5,8,5,0
448,0,25,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,3,3,6,3,5,6,3,6,3,4,5,3,5,4,4,1,3,3,4,2,7,4,2,3,5,5,3,2,6,3,4,1
333,0,21,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,7,9,4,8,9,5,7,5,6,8,8,5,7,6,9,1,6,5,6,7,7,5,8,4,7,6,7,4,5,7,7,1
421,0,27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,4,8,8,6,7,7,6,8,8,7,7,9,2,8,10,9,1,7,6,5,8,7,6,6,8,8,8,6,1,8,6,9,0
432,0,25,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,6,9,5,5,4,8,6,8,6,7,7,7,7,8,7,5,1,6,4,5,1,6,4,6,6,6,6,6,5,5,7,4,0
396,0,18,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,6,5,4,5,5,5,4,4,5,5,4,3,4,5,5,3,2,3,2,1,2,3,3,2,2,3,2,2,2,2,1,3
442,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,5,6,4,9,6,3,6,4,5,5,4,8,2,7,9,5,2,6,7,5,5,6,7,5,5,7,5,8,0,4,8,6,2
460,0,25,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,3,6,7,8,6,5,6,7,6,8,8,5,5,6,8,6,6,3,7,7,7,8,9,6,5,6,8,5,6,5,5,5,7,2
307,0,30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,7,6,5,5,7,8,3,8,5,5,4,7,8,5,6,5,2,8,5,1,6,5,7,8,7,7,7,7,8,6,8,7,0
354,0,33,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,7,7,3,4,8,6,4,7,6,5,6,4,6,2,6,4,6,1,3,4,7,7,7,7,4,5,5,4,6,1,7,4,6,2
329,0,22,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,6,5,9,7,5,6,6,5,8,7,6,6,7,6,5,1,8,9,7,10,7,6,7,8,6,7,8,6,7,8,9,1
328,0,30,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,12,7,8,7,5,8,9,8,6,4,7,7,6,8,6,7,4,2,4,5,6,5,6,5,5,5,5,7,5,5,4,5,6,1
451,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,7,9,6,9,9,8,9,9,7,7,7,5,8,7,8,3,9,8,7,8,7,8,10,9,9,9,9,6,7,9,8,1
306,0,28,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,5,7,8,8,5,6,8,8,7,9,10,3,8,9,8,3,3,6,5,7,3,7,7,6,5,8,4,5,6,6,6,2
294,0,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,4,6,7,5,5,6,7,7,6,3,6,4,8,4,3,5,1,6,7,3,4,3,7,3,5,5,8,5,6,3,5,4,1
497,0,22,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,7,7,7,5,6,7,4,5,6,3,4,4,6,7,6,2,5,7,6,7,8,7,7,7,7,4,8,4,9,6,8,0
477,0,27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,12,5,9,6,7,9,7,7,7,8,6,6,6,8,6,7,6,3,10,6,5,7,3,6,6,8,7,7,7,6,9,8,7,2
359,0,26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,9,8,6,10,5,7,9,8,8,3,6,1,6,8,5,2,9,6,4,5,2,7,9,6,6,2,7,0,5,6,6,2
411,0,28,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,5,5,5,5,3,5,6,6,6,0,4,4,3,3,3,1,5,4,4,4,3,5,5,5,3,1,4,4,4,6,3,0
292,0,26,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,7,10,6,6,7,7,8,8,8,9,9,8,1,10,8,7,2,10,10,6,8,9,8,10,8,9,8,9,0,8,10,9,1
266,0,23,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,2,8,8,8,7,9,6,7,9,9,9,7,6,9,9,9,1,8,8,9,10,10,6,9,8,10,8,9,3,8,9,8,0
357,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,4,7,8,9,9,10,10,9,6,10,10,7,10,6,7,7,2,6,8,9,10,10,9,7,6,8,10,10,10,9,8,8,2
407,0,25,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,13,5,6,7,6,8,7,6,8,7,7,8,9,9,7,8,7,1,6,8,6,4,6,7,6,6,6,9,8,10,4,7,7,1
438,0,20,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,11,6,7,9,6,8,6,7,8,7,6,9,9,9,7,9,8,1,5,7,5,7,5,6,7,7,5,7,7,8,6,6,6,1
325,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,6,5,6,6,6,6,6,5,5,6,4,4,6,5,6,5,1,5,3,3,6,4,7,6,5,5,6,8,7,7,6,3,1
389,0,35,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,12,4,6,4,5,6,5,8,6,7,7,6,7,5,6,8,7,1,7,6,6,4,6,6,6,7,6,7,8,5,6,9,7,0
297,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,11,6,6,6,5,6,2,5,5,6,7,7,6,0,7,6,6,2,8,7,4,8,3,6,7,6,7,8,7,0,7,6,6,2
464,0,19,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,10,10,7,10,7,7,10,10,8,7,10,9,8,7,7,3,8,10,7,7,2,6,10,9,10,8,9,8,7,7,7,1
486,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,11,6,0,5,4,4,4,4,6,5,5,0,4,5,5,6,5,1,5,2,4,3,5,5,4,5,3,2,6,3,5,6,5,2
289,0,24,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,4,7,6,6,7,5,4,8,4,9,8,5,5,7,7,6,1,5,7,8,9,8,6,7,7,9,9,7,8,7,7,9,1
387,0,27,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,12,1,9,10,8,9,9,9,9,10,10,10,10,7,10,10,10,1,9,7,9,9,9,8,8,7,8,9,7,6,6,8,7,0
468,0,21,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,10,6,8,6,7,8,4,9,8,8,7,6,5,8,9,1,8,9,3,4,8,6,5,7,8,7,9,2,5,9,6,0
382,0,34,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,12,4,10,8,9,9,8,8,8,6,10,8,10,9,9,5,9,3,8,9,8,9,10,8,6,8,10,9,10,8,10,6,7,2
284,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,2,8,6,5,4,4,5,5,5,6,5,5,5,6,9,7,2,5,3,6,6,6,3,5,6,7,6,6,4,4,8,6,0
435,0,18,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,7,7,5,6,5,7,7,8,7,5,6,2,4,3,5,2,6,7,7,5,6,5,6,8,6,4,6,1,7,3,6,0
370,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,5,7,5,5,3,7,5,6,5,5,8,6,4,6,6,6,4,7,6,6,7,7,5,7,7,8,7,5,2,8,8,8,2
369,0,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,10,7,9,9,9,6,7,8,9,9,7,9,6,7,9,1,10,5,8,7,9,5,6,6,9,9,9,7,8,7,5,0
377,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,4,6,6,5,6,6,8,4,8,6,8,6,7,5,6,1,6,5,6,3,7,6,7,8,8,3,6,4,6,5,4,0
360,0,30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,5,8,6,6,8,8,9,7,9,6,8,7,4,5,8,7,1,8,5,3,5,7,5,6,6,5,7,6,3,6,8,6,1
492,0,18,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,7,8,5,8,6,8,6,8,6,8,9,6,6,9,7,0,6,9,7,8,7,8,6,8,8,9,8,4,8,8,5,1
352,0,34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,4,6,5,3,6,6,5,8,6,8,5,7,8,8,6,7,1,8,5,2,5,7,5,7,7,6,7,7,5,6,6,6,0
350,0,22,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,6,7,6,5,6,6,7,8,8,5,7,7,7,7,7,1,7,8,7,5,9,5,5,8,5,6,7,7,6,8,8,1
458,0,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,7,5,9,8,6,7,8,7,8,10,8,7,8,5,7,9,6,3,10,6,5,9,10,8,7,9,8,7,7,2,5,10,9,2
320,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,3,9,10,9,10,8,8,8,8,8,10,7,8,9,7,7,1,8,9,8,8,3,7,9,8,7,6,7,8,6,9,7,1
259,0,18,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,6,6,9,10,9,10,10,10,10,6,10,8,8,10,10,10,2,10,9,9,9,9,10,10,10,10,9,10,9,8,10,10,3
403,0,18,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,9,8,6,7,10,7,8,7,5,6,4,5,4,6,5,6,8,3,3,6,4,4,5,5,6,5,4,6,4,5,4,3
260,0,28,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,4,9,7,10,8,9,9,10,9,9,8,9,6,10,10,9,1,8,7,10,6,7,7,9,6,9,7,8,5,5,9,8,1
272,0,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9,4,7,6,5,7,7,7,5,7,7,9,6,2,5,6,5,2,6,7,6,6,9,6,6,7,8,8,7,3,5,8,7,0
426,0,29,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,7,6,8,7,8,7,5,8,7,7,9,7,6,2,6,6,8,1,7,7,7,8,7,7,7,7,7,8,7,5,7,6,7,1
334,0,32,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,5,8,6,6,4,2,2,5,4,7,6,5,5,4,7,4,2,5,3,4,5,3,5,3,3,6,5,3,4,5,4,5,1
366,0,21,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,13,4,9,9,5,8,6,6,8,7,8,8,9,3,8,9,7,1,6,8,4,7,7,8,8,7,7,8,8,1,6,6,7,1
453,0,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,10,9,10,9,10,8,8,5,9,7,6,10,9,8,9,2,8,8,10,9,10,9,7,10,9,10,10,10,9,8,9,2
419,0,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,4,7,9,6,9,7,5,6,8,9,6,7,5,10,8,7,3,10,10,8,10,9,8,7,10,9,9,7,5,7,8,8,1
485,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,7,5,5,3,6,3,5,4,6,6,3,7,6,8,3,6,2,7,8,6,4,5,6,5,7,6,2,6,6,8,5,7,0
466,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,10,10,7,9,10,9,9,10,10,10,10,10,10,10,10,2,10,10,7,8,10,9,9,10,10,10,10,10,10,10,8,2
443,0,23,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,11,1,7,3,5,7,4,5,4,7,6,4,5,5,5,6,6,3,6,7,8,6,7,4,5,6,7,4,4,4,6,4,7,2
321,0,27,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,5,10,8,6,9,7,6,7,6,10,7,7,1,8,10,9,1,7,8,5,9,7,7,6,8,8,8,9,0,8,7,8,1
434,0,21,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,13,4,5,6,7,5,8,6,8,6,6,5,5,7,3,4,5,1,6,7,5,8,6,5,8,6,7,7,6,8,6,7,7,0
262,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,7,6,5,4,5,6,5,6,3,6,4,6,7,4,7,5,2,6,5,5,5,3,5,6,6,7,4,5,3,5,7,6,1
409,0,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,4,8,7,6,8,8,10,6,9,6,7,7,5,7,7,8,1,7,9,8,9,9,8,9,7,8,9,8,5,7,8,8,0
418,0,18,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,10,6,4,3,4,5,5,6,5,5,5,6,6,9,5,6,4,1,4,6,5,4,3,6,4,5,5,7,6,9,4,5,5,1
316,0,30,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,5,7,7,8,8,9,7,8,9,8,9,8,10,9,10,8,2,5,8,9,8,9,7,9,5,5,8,7,10,8,8,10,1
287,0,35,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,12,4,6,6,5,8,6,6,4,5,5,4,5,6,7,6,3,3,6,8,5,7,6,5,6,5,6,5,6,5,6,6,7,2
327,0,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13,3,5,5,5,7,7,4,4,3,7,5,4,5,5,4,5,1,6,3,4,4,5,6,6,5,5,7,7,7,6,5,4,1
324,0,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,3,7,5,5,2,7,8,3,6,4,4,6,1,6,5,7,1,6,8,7,4,6,6,6,8,7,3,7,2,6,7,7,1
383,0,19,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,7,7,5,5,7,5,6,7,7,8,6,6,6,8,8,4,7,7,5,7,7,4,6,7,7,9,6,7,6,7,6,2
263,0,24,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,4,6,5,5,5,5,6,5,8,7,3,7,5,6,6,2,5,5,5,4,3,5,6,4,4,4,4,8,3,5,5,2
